Variabel;Display_navn;Type;Kategori;Beskrivelse;Kilde;Kilde_url;Tabell;Enhet;Frekvens;Startaar;Sluttaar;Funksjon;Kommentar;Omraade;Analyse_type
KPI;KPI;Original;Priser og inflasjon;Konsumprisindeks;SSB;https://data.ssb.no/api/v0/no/table/pp/pp04/kpi/SBMENU12006/Kpi11;14711;2025=100;Ã…rlig;1865;NA;get_kpi;Historisk KPI-serie;Norge;indeks
Inflasjon;Inflasjon;Beregnet;Priser og inflasjon;Ã…rsvekst i KPI;Beregnet;NA;KPI;Prosent;Ã…rlig;1866;NA;get_kpi;Beregnet som (KPI / lag(KPI) - 1) * 100;Norge;rate
Befolkning;Befolkning;Original;Demografi;Befolkning 1. januar;SSB;https://data.ssb.no/api/v0/no/table/be/be05/folkemengde/SBMENU5580/FolkHistorie;5803;Personer;Ã…rlig;1735;NA;get_befolkning;Historisk befolkningsserie;Norge;nivå
Arbeidsstyrke;Arbeidsstyrke;Original;Arbeidsmarked;Personer i arbeidsstyrken, 15-74 Ã¥r;SSB AKU;https://data.ssb.no/api/v0/no/table/al/al03/aku/SBMENU9728/ArbStyrkAar;3780;Personer;Ã…rlig;1972;NA;get_arbeidsstyrke;Summert menn og kvinner, multiplisert med 1000;Norge;nivå
Sysselsatte;Sysselsatte;Original;Arbeidsmarked;Sysselsatte personer, 15-74 Ã¥r;SSB AKU;https://data.ssb.no/api/v0/no/table/al/al06/aku/SBMENU9726/SysselAKUAar;3781;Personer;Ã…rlig;1972;NA;get_sysselsatte;Summert menn og kvinner, multiplisert med 1000;Norge;nivå
Arbledige_NAV;Arbledige NAV;Original;Arbeidsmarked;Registrerte helt arbeidsledige;NAV;https://www.nav.no/_/attachment/download/a5aa83cd-c083-4b88-9359-1c1b3b2f936e:285ebf18c576ff0fd1537a83289401df2498cae4/Tabell%203_Helt%20ledige%20fordelt%20pa%20kjonn.Aarsgjennomsnitt.1948_2025.xls;Tabell 3;Personer;Ã…rlig;1948;2025;get_ledighet;Ã…rsgjennomsnitt. Brudd i statistikken dokumentert av NAV;Norge;nivå
Menn_arbledige_NAV;Menn arbledige NAV;Original;Arbeidsmarked;Registrerte helt arbeidsledige menn;NAV;https://www.nav.no/...;Tabell 3;Personer;Ã…rlig;1948;2025;get_ledighet;Ã…rsgjennomsnitt;Norge;nivå
Kvinner_arbledige_NAV;Kvinner arbledige NAV;Original;Arbeidsmarked;Registrerte helt arbeidsledige kvinner;NAV;https://www.nav.no/...;Tabell 3;Personer;Ã…rlig;1948;2025;get_ledighet;Ã…rsgjennomsnitt;Norge;nivå
Arbledighetsrate_NAV;Arbledighetsrate NAV;Original;Arbeidsmarked;Registrerte helt arbeidsledige i prosent av arbeidsstyrken;NAV;https://www.nav.no/...;Tabell 3;Prosent;Ã…rlig;1948;2025;get_ledighet;Ã…rsgjennomsnitt;Norge;rate
Kvinneandel_arbledige_NAV;Kvinneandel arbledige NAV;Original;Arbeidsmarked;Andel kvinner blant registrerte helt arbeidsledige;NAV;https://www.nav.no/...;Tabell 3;Prosent;Ã…rlig;1948;2025;get_ledighet;Ã…rsgjennomsnitt;Norge;rate
Styringsrente;Styringsrente;Original;Finansmarkeder;Norges Banks styringsrente;Norges Bank;https://data.norges-bank.no/api/data/IR/M.KPRA..?format=csv&lastNObservations=1200&locale=no&bom=include;IR/M.KPRA;Prosent;MÃ¥nedlig til Ã¥rsgjennomsnitt;1982;NA;get_rente;Ã…rsgjennomsnitt beregnet fra mÃ¥nedstall;Norge;rate
BNP_lopende;BNP lopende;Original;Nasjonalregnskap;Bruttonasjonalprodukt, lÃ¸pende priser;SSB;https://data.ssb.no/api/v0/no/table/nk/nk03/knr/SBMENU5140/NRbnp;NRbnp;Millioner kroner;Ã…rlig;1970;NA;get_bnp;Nominell BNP-serie;Norge;nivå
BNP_Fastland;BNP Fastland;Original;Nasjonalregnskap;BNP Fastlands-Norge, faste priser;SSB;https://data.ssb.no/api/v0/no/table/nk/nk03/knr/SBMENU5140/NRMakroHov;NRMakroHov;Millioner kroner, faste priser;Ã…rlig;1970;NA;get_bnp_fastland;Makrost = bnpb.nr23_9fn, ContentsCode = Faste;Norge;nivå
BNP_Fastland_vekst;BNP Fastland vekst;Beregnet;Nasjonalregnskap;Ã…rsvekst i BNP Fastlands-Norge;Beregnet;NA;BNP_Fastland;Prosent;Ã…rlig;1971;NA;get_bnp_fastland;Beregnet som (BNP_Fastland / lag(BNP_Fastland) - 1) * 100;Norge;rate
Lonn;Lonn;Original;LÃ¸nn og inntekt;Ã…rslÃ¸nn, pÃ¥lÃ¸pt;SSB;https://data.ssb.no/api/v0/no/table/al/al05/lonnansatt/SBMENU7201/NRArslonnSnitt;9786;1000 kroner;Ã…rlig;1970;NA;get_lonn;Gjennomsnitt for alle lÃ¸nnstakere;Norge;nivå
Lonnvekst;Lonnvekst;Original;LÃ¸nn og inntekt;Ã…rslÃ¸nn, pÃ¥lÃ¸pt. Endring fra Ã¥ret fÃ¸r;SSB;https://data.ssb.no/api/v0/no/table/al/al05/lonnansatt/SBMENU7201/NRArslonnSnitt;9786;Prosent;Ã…rlig;1971;NA;get_lonn;Direkte fra SSB-tabell;Norge;rate
Befolkningsvekst;Befolkningsvekst;Beregnet;Demografi;Ã…rlig vekst i befolkningen;Beregnet;NA;Befolkning;Prosent;Ã…rlig;1736;NA;create_derived_variables;Beregnet som (Befolkning / lag(Befolkning) - 1) * 100;Norge;rate
Reallonnsvekst;Reallonnsvekst;Beregnet;LÃ¸nn og inntekt;LÃ¸nnsvekst minus inflasjon;Beregnet;NA;Lonnvekst og Inflasjon;Prosent;Ã…rlig;1971;NA;create_derived_variables;Beregnet som Lonnvekst - Inflasjon;Norge;rate
Arbeidsstyrkeandel;Arbeidsstyrkeandel;Beregnet;Arbeidsmarked;Arbeidsstyrken som andel av befolkningen;Beregnet;NA;Arbeidsstyrke og Befolkning;Prosent;Ã…rlig;1972;NA;create_derived_variables;Beregnet som Arbeidsstyrke / Befolkning * 100;Norge;rate
Arbledige_andel_arbeidsstyrke_NAV;Arbledige andel arbeidsstyrke NAV;Beregnet;Arbeidsmarked;Registrerte arbeidsledige som andel av arbeidsstyrken;Beregnet;NA;Arbledige_NAV og Arbeidsstyrke;Prosent;Ã…rlig;1972;NA;create_derived_variables;Beregnet som Arbledige_NAV / Arbeidsstyrke * 100;Norge;rate
Boligprisindeks;Boligprisindeks;Original;Boligmarked;Prisindeks for brukte boliger, hele landet, alle boligtyper (2015=100);SSB;https://data.ssb.no/api/v0/no/table/pp/pp01/bpi/SBMENU7481/NyBoligindeks3;7230;Indeks (2015=100);Ã…rlig;1992;NA;get_boligpriser;Hele landet, alle boligtyper;Norge;indeks
Boligprisvekst;Boligprisvekst;Beregnet;Boligmarked;Ã…rlig prosentvis vekst i boligprisindeksen;Beregnet;NA;Boligprisindeks;Prosent;Ã…rlig;1993;NA;get_boligpriser;Beregnet som (Boligprisindeks / lag(Boligprisindeks) - 1) * 100;Norge;rate
Oljepris_USD;Oljepris USD;Original;Energi og rÃ¥varer;Brent Blend spotpris, Ã¥rsgjennomsnitt;FRED;https://fred.stlouisfed.org/series/DCOILBRENTEU;DCOILBRENTEU;USD per fat;Ã…rlig;1987;NA;get_oljepris;Ã…rsgjennomsnitt av daglige Brent-observasjoner;Norge;nivå
Oljeprisvekst;Oljeprisvekst;Beregnet;Energi og rÃ¥varer;Ã…rlig prosentvis vekst i Brent oljepris;Beregnet;NA;Oljepris_USD;Prosent;Ã…rlig;1988;NA;get_oljepris;Beregnet som (Oljepris_USD / lag(Oljepris_USD) - 1) * 100;Norge;rate
Valutakurs_I44;Valutakurs I44;Original;Finansmarkeder;Importveid kronekursindeks I-44;Norges Bank;https://data.norges-bank.no/api/data/EXR/A.I44.NOK.SP?format=csv&lastNObservations=100&locale=no;EXR/A.I44.NOK.SP;Indeks;Ã…rlig;1990;NA;get_valutakurs;HÃ¸yere verdi betyr svakere krone;Norge;indeks
Valutakurs_I44_vekst;Valutakurs I44 vekst;Beregnet;Finansmarkeder;Ã…rlig prosentvis vekst i importveid kronekursindeks I-44;Beregnet;NA;Valutakurs_I44;Prosent;Ã…rlig;1991;NA;get_valutakurs;Beregnet som (Valutakurs_I44 / lag(Valutakurs_I44) - 1) * 100. Positiv verdi betyr svakere krone;Norge;rate
Eksport;Eksport;Original;UtenriksÃ¸konomi;Eksport i alt, faste 2023-priser;SSB;https://data.ssb.no/api/v0/no/table/nk/nk03/knr/SBMENU5140/NRMakroHov;9189;Millioner kroner, faste 2023-priser;Ã…rlig;1970;NA;get_utenrikshandel;Makrost = eks.nrtot, ContentsCode = Faste;Norge;nivå
Import;Import;Original;UtenriksÃ¸konomi;Import i alt, faste 2023-priser;SSB;https://data.ssb.no/api/v0/no/table/nk/nk03/knr/SBMENU5140/NRMakroHov;9189;Millioner kroner, faste 2023-priser;Ã…rlig;1970;NA;get_utenrikshandel;Makrost = imp.nrtot, ContentsCode = Faste;Norge;nivå
Eksportvekst;Eksportvekst;Beregnet;UtenriksÃ¸konomi;Ã…rlig prosentvis vekst i eksport;Beregnet;NA;Eksport;Prosent;Ã…rlig;1971;NA;get_utenrikshandel;Beregnet som (Eksport / lag(Eksport) - 1) * 100;Norge;rate
Importvekst;Importvekst;Beregnet;UtenriksÃ¸konomi;Ã…rlig prosentvis vekst i import;Beregnet;NA;Import;Prosent;Ã…rlig;1971;NA;get_utenrikshandel;Beregnet som (Import / lag(Import) - 1) * 100;Norge;rate
OSEAX;OSEAX;Original;Finansmarkeder;Oslo Stock Exchange All-Share Index (Ã¥rsgjennomsnitt);Yahoo Finance;https://finance.yahoo.com/quote/%5EOSEAX/;^OSEAX;Indeks;Ã…rlig;2013;NA;get_oseax;Ã…rsgjennomsnitt av daglige observasjoner;Norge;indeks
OSEAX_vekst;OSEAX vekst;Beregnet;Finansmarkeder;Ã…rlig prosentvis vekst i OSEAX;Beregnet;NA;OSEAX;Prosent;Ã…rlig;2014;NA;get_oseax;Beregnet som (OSEAX / lag(OSEAX) - 1) * 100;Norge;rate
Strompris;Strompris;Original;Energi og rÃ¥varer;Kraft og nett i alt inklusive avgifter for husholdninger;SSB;https://data.ssb.no/api/v0/no/table/ei/ei01/elkraftpris/SBMENU4023/KraftPrisNettLeiAar;9007;Cre per kWh;Ã…rlig;2012;NA;get_strompris;Kraft og nett i alt inkl. avgifter;Norge;nivå
Stromprisvekst;Stromprisvekst;Beregnet;Energi og rÃ¥varer;Ã…rlig prosentvis vekst i strÃ¸mpris;Beregnet;NA;Strompris;Prosent;Ã…rlig;2013;NA;get_strompris;Beregnet som (Strompris / lag(Strompris) - 1) * 100;Norge;rate
Offentlig_gjeld;Offentlig gjeld;Original;Offentlige finanser;Offentlig forvaltnings gjeld i alt;SSB;https://data.ssb.no/api/v0/no/table/os/os04/offogjeld/SBMENU5263/FinansUnder;7511;Millioner kroner;Ã…rlig;1995;NA;get_offentlig_finans;Sektor = Offentlig forvaltning, FinansObjekt = GJELD I ALT;Norge;nivå
Offentlig_nettofordringer;Offentlig nettofordringer;Original;Offentlige finanser;Offentlig forvaltnings nettofordringer;SSB;https://data.ssb.no/api/v0/no/table/os/os04/offogjeld/SBMENU5263/FinansUnder;7511;Millioner kroner;Ã…rlig;1995;NA;get_offentlig_finans;Sektor = Offentlig forvaltning, FinansObjekt = Nettofordringer;Norge;nivå
Offentlig_gjeld_andel_BNP;Offentlig gjeld andel BNP;Beregnet;Offentlige finanser;Offentlig gjeld som andel av BNP;Beregnet;NA;Offentlig_gjeld og BNP_lopende;Prosent;Ã…rlig;1995;NA;create_derived_variables;Beregnet som Offentlig_gjeld / BNP_lopende * 100;Norge;rate
Offentlig_nettofordringer_andel_BNP;Offentlig nettofordringer andel BNP;Beregnet;Offentlige finanser;Offentlige nettofordringer som andel av BNP;Beregnet;NA;Offentlig_nettofordringer og BNP_lopende;Prosent;Ã…rlig;1995;NA;create_derived_variables;Beregnet som Offentlig_nettofordringer / BNP_lopende * 100;Norge;rate
Offentlige_utgifter;Offentlige utgifter;Original;Offentlige finanser;Offentlig forvaltnings totale utgifter;SSB;https://data.ssb.no/api/v0/no/table/os/os02/offinnut/SBMENU4642/OffInnUt21;14668;Millioner kroner;Ã…rlig;1995;NA;get_offentlige_utgifter;Art = Totale utgifter (B+D), Sektor = Offentlig forvaltning;Norge;nivå
Statlige_utgifter;Statlige utgifter;Original;Offentlige finanser;Statsforvaltningens totale utgifter;SSB;https://data.ssb.no/api/v0/no/table/os/os02/offinnut/SBMENU4642/OffInnUt21;14668;Millioner kroner;Ã…rlig;1995;NA;get_offentlige_utgifter;Art = Totale utgifter (B+D), Sektor = Statsforvaltningen;Norge;nivå
Kommunale_utgifter;Kommunale utgifter;Original;Offentlige finanser;Kommuneforvaltningens totale utgifter;SSB;https://data.ssb.no/api/v0/no/table/os/os02/offinnut/SBMENU4642/OffInnUt21;14668;Millioner kroner;Ã…rlig;1995;NA;get_offentlige_utgifter;Art = Totale utgifter (B+D), Sektor = Kommuneforvaltningen;Norge;nivå
Kommunal_utgiftsandel;Kommunal utgiftsandel;Beregnet;Offentlige finanser;Kommunale utgifter som andel av offentlige utgifter;Beregnet;NA;Kommunale_utgifter og Offentlige_utgifter;Prosent;Ã…rlig;1995;NA;create_derived_variables;Beregnet som Kommunale_utgifter / Offentlige_utgifter * 100;Norge;rate
Statlig_utgiftsandel;Statlig utgiftsandel;Beregnet;Offentlige finanser;Statlige utgifter som andel av offentlige utgifter;Beregnet;NA;Statlige_utgifter og Offentlige_utgifter;Prosent;Ã…rlig;1995;NA;create_derived_variables;Beregnet som Statlige_utgifter / Offentlige_utgifter * 100;Norge;rate
Kreditt_K2;Kreditt K2;Original;Kreditt og husholdninger;Innenlandsk lÃ¥negjeld til publikum, Ã¥rsgjennomsnitt;SSB;https://data.ssb.no/api/v0/no/table/bf/bf02/kredind/InnLandGjeldNY;6718;Millioner kroner;Ã…rlig;1987;NA;get_kreditt;Valuta = I alt, lÃ¥ntakersektor = Publikum, kredittkilde = alle lÃ¥ngivere. Ã…rsgjennomsnitt av mÃ¥nedstall;Norge;nivå
