Variabel,Display_navn,Type,Kategori,Beskrivelse,Kilde,Kilde_url,Tabell,Enhet,Frekvens,Startaar,Sluttaar,Funksjon,Kommentar,Omraade
HICP,Harmonisert konsumprisindeks,Original,Priser og inflasjon,Harmonisert konsumprisindeks for alle varer og tjenester.,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/prc_hicp_aind/default/table?lang=en,prc_hicp_aind,Indeks (2015=100),Erlig,1996,2025,get_hicp,"HICP, totalindeks. unit = INX_A_AVG, coicop = CP00.",Internasjonal
Befolkning,Befolkning,Original,Demografi,Befolkning 1. januar,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/demo_pjan/default/table?lang=en,demo_pjan,Personer,Erlig,1960,2025,get_population,"Befolkning 1. januar. sex = T, age = TOTAL.",Internasjonal
Arbeidsledighetsrate,Arbeidsledighetsrate,Original,Arbeidsmarked,"Arbeidsledige som andel av arbeidsstyrken, 15–74 år.",Eurostat,https://ec.europa.eu/eurostat/databrowser/view/une_rt_a/default/table?lang=en,une_rt_a,Prosent,Erlig,2003,2025,get_unemployment,"Arbeidsledige som andel av arbeidsstyrken. sex = T, age = Y15-74, unit = PC_ACT.",Internasjonal
BNP_lopende,BNP_lopende,Original,Nasjonalregnskap,"Bruttonasjonalprodukt, løpende priser",Eurostat,https://ec.europa.eu/eurostat/databrowser/view/nama_10_gdp/default/table?lang=en,nama_10_gdp,"Millioner euro, lxpende priser",Erlig,1975,2025,get_gdp,"BNP i lxpende priser. unit = CP_MEUR, na_item = B1G.",Internasjonal
BNP_faste_priser,BNP faste priser,Original,Nasjonalregnskap,Bruttonasjonalprodukt i kjedevolum med referanseer 2020.,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/nama_10_gdp/default/table?lang=en,nama_10_gdp,"Millioner euro, kjedevolum med referanseer 2020",Erlig,1975,2025,get_gdp_constant,"BNP i faste priser. unit = CLV20_MEUR, na_item = B1G.",Internasjonal
Industriproduksjon,Industriproduksjon,Original,Produksjon og aktivitet,Produksjonsindeks for industrien (2021=100),Eurostat,https://ec.europa.eu/eurostat/databrowser/view/sts_inpr_a/default/table?lang=en,sts_inpr_a,Indeks (2015=100),Erlig,1990,2023,get_industrial_production,"Industriproduksjon, kalenderjustert. indic_bt = PRD, nace_r2 = C, s_adj = CA, unit = I15.",Internasjonal
Sysselsatte,Sysselsatte,Original,Arbeidsmarked,"Sysselsatte personer, 15-74 år",Eurostat,https://ec.europa.eu/eurostat/databrowser/view/nama_10_pe/default/table?lang=en,nama_10_pe,Personer,Erlig,1975,2025,get_employment,"Sysselsetting etter innenlandsk konsept. unit = THS_PER, na_item = EMP_DC. Multiplisert med 1000.",Internasjonal
Arbeidsstyrke,Arbeidsstyrke,Original,Arbeidsmarked,"Personer i arbeidsstyrken, 15-74 år",Eurostat,https://ec.europa.eu/eurostat/databrowser/view/lfsi_emp_a/default/table?lang=en,lfsi_emp_a,Personer,Erlig,2003,2025,get_labour_force,"Arbeidsstyrke 15-64 er. indic_em = ACT, sex = T, age = Y15-64, unit = THS_PER. Multiplisert med 1000.",Internasjonal
Offentlig_gjeld_andel_BNP,Offentlig_gjeld_andel_BNP,Beregnet,Offentlige finanser,Offentlig gjeld som andel av BNP,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/gov_10dd_edpt1/default/table?lang=en,gov_10dd_edpt1,Prosent av BNP,Erlig,1995,2025,get_government_debt,"Offentlig bruttogjeld etter Maastricht-definisjonen. unit = PC_GDP, sector = S13, na_item = GD.",Internasjonal
Boligprisindeks,Boligprisindeks,Original,Boligmarked,"Prisindeks for brukte boliger, hele landet, alle boligtyper (2015=100)",Eurostat,https://ec.europa.eu/eurostat/databrowser/view/prc_hpi_a/default/table?lang=en,prc_hpi_a,Indeks (2015=100),Erlig,2005,2025,get_house_price_index,"Samlet boligprisindeks. purchase = TOTAL, unit = I15_A_AVG.",Internasjonal
Detaljhandel,Detaljhandel,Original,Produksjon og aktivitet,"Volumindeks for detaljhandel, unntatt salg av motorvogner (2021=100)",Eurostat,https://ec.europa.eu/eurostat/databrowser/view/sts_trtu_a/default/table?lang=en,sts_trtu_a,Indeks (2015=100),Erlig,1991,2023,get_retail_trade,"Salgsvolum i detaljhandel. indic_bt = VOL_SLS, nace_r2 = G47, s_adj = CA, unit = I15.",Internasjonal
Eksport,Eksport,Original,Utenriksøkonomi,"Eksport i alt, faste 2023-priser",Eurostat,https://ec.europa.eu/eurostat/databrowser/view/nama_10_gdp/default/table?lang=en,nama_10_gdp,"Millioner euro, kjedevolum med referanseer 2020",Erlig,1975,2025,get_exports,"Eksport av varer og tjenester. unit = CLV20_MEUR, na_item = P6.",Internasjonal
Import,Import,Original,Utenriksøkonomi,"Import i alt, faste 2023-priser",Eurostat,https://ec.europa.eu/eurostat/databrowser/view/nama_10_gdp/default/table?lang=en,nama_10_gdp,"Millioner euro, kjedevolum med referanseer 2020",Erlig,1975,2025,get_imports,"Import av varer og tjenester. unit = CLV20_MEUR, na_item = P7.",Internasjonal
Privat_konsum,Privat_konsum,Original,Husholdningsøkonomi,"Konsum i husholdninger, faste 2023-priser",Eurostat,https://ec.europa.eu/eurostat/databrowser/view/nama_10_gdp/default/table?lang=en,nama_10_gdp,"Millioner euro, kjedevolum med referanseer 2020",Erlig,1975,2025,get_private_consumption,"Konsum i husholdninger og ideelle organisasjoner. unit = CLV20_MEUR, na_item = P31_S14_S15.",Internasjonal
Offentlig_konsum,Offentlig_konsum,Original,Offentlige finanser,"Konsum i offentlig forvaltning, faste 2023-priser",Eurostat,https://ec.europa.eu/eurostat/databrowser/view/nama_10_gdp/default/table?lang=en,nama_10_gdp,"Millioner euro, kjedevolum med referanseer 2020",Erlig,1975,2025,get_public_consumption,"Konsum i offentlig forvaltning. unit = CLV20_MEUR, na_item = P3_S13.",Internasjonal
Investeringer,Investeringer,Original,Nasjonalregnskap,Bruttoinvesteringer i fast realkapital i kjedevolum.,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/nama_10_gdp/default/table?lang=en,nama_10_gdp,"Millioner euro, kjedevolum med referanseer 2020",Erlig,1975,2025,get_investment,"Bruttoinvesteringer i fast realkapital. unit = CLV20_MEUR, na_item = P51G.",Internasjonal
Statsrente_10aar,Statsrente_10aar,Original,Finansmarkeder,10-årig norsk statsobligasjonsrente,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_a/default/table?lang=en,irt_lt_mcby_a,Prosent,Erlig,1967,2025,get_long_interest_rate,Erlig Maastricht-kriterierente for langsiktige statsobligasjoner.,Internasjonal
Inflasjon,Inflasjon,Beregnet,Priser og inflasjon,Årsvekst i KPI,Beregnet,,HICP,Prosent,Erlig,1997,2025,create_international_derived_variables,"Beregnet med growth_rate(HICP, Aar).",Internasjonal
Befolkningsvekst,Befolkningsvekst,Beregnet,Demografi,Årlig vekst i befolkningen,Beregnet,,Befolkning,Prosent,Erlig,1961,2025,create_international_derived_variables,"Beregnet med growth_rate(Befolkning, Aar).",Internasjonal
BNP_lopende_per_innbygger,BNP_lopende_per_innbygger,Beregnet,Nasjonalregnskap,BNP i løpende priser per innbygger,Beregnet,,BNP_lopende og Befolkning,Euro per innbygger,Erlig,1975,2025,create_international_derived_variables,Beregnet som BNP_lopende * 1e6 / Befolkning.,Internasjonal
BNP_vekst,BNP vekst,Beregnet,Nasjonalregnskap,Erlig prosentvis vekst i BNP i faste priser.,Beregnet,,BNP_faste_priser,Prosent,Erlig,1976,2025,create_international_derived_variables,"Beregnet med growth_rate(BNP_faste_priser, Aar).",Internasjonal
Industriproduksjon_vekst,Industriproduksjon_vekst,Beregnet,Produksjon og aktivitet,Årlig prosentvis vekst i industriproduksjonen,Beregnet,,Industriproduksjon,Prosent,Erlig,1991,2023,create_international_derived_variables,"Beregnet med growth_rate(Industriproduksjon, Aar).",Internasjonal
Sysselsettingsandel,Sysselsettingsandel,Beregnet,Arbeidsmarked,Sysselsatte som andel av befolkningen.,Beregnet,,Sysselsatte og Befolkning,Prosent,Erlig,1975,2025,create_international_derived_variables,Beregnet som Sysselsatte / Befolkning * 100.,Internasjonal
Arbeidsproduktivitet,Arbeidsproduktivitet,Beregnet,Nasjonalregnskap,BNP Fastlands-Norge per sysselsatt,Beregnet,,BNP_faste_priser og Sysselsatte,Euro per sysselsatt,Erlig,1975,2025,create_international_derived_variables,Beregnet som BNP_faste_priser * 1e6 / Sysselsatte.,Internasjonal
Produktivitetsvekst,Produktivitetsvekst,Beregnet,Nasjonalregnskap,Årlig vekst i arbeidsproduktivitet,Beregnet,,Arbeidsproduktivitet,Prosent,Erlig,1976,2025,create_international_derived_variables,"Beregnet med growth_rate(Arbeidsproduktivitet, Aar).",Internasjonal
Arbeidsstyrkeandel,Arbeidsstyrkeandel,Beregnet,Arbeidsmarked,Arbeidsstyrken som andel av befolkningen,Beregnet,,Arbeidsstyrke og Befolkning,Prosent,Erlig,2003,2025,create_international_derived_variables,Beregnet som Arbeidsstyrke / Befolkning * 100.,Internasjonal
Boligprisvekst,Boligprisvekst,Beregnet,Boligmarked,Årlig prosentvis vekst i boligprisindeksen,Beregnet,,Boligprisindeks,Prosent,Erlig,2006,2025,create_international_derived_variables,"Beregnet med growth_rate(Boligprisindeks, Aar).",Internasjonal
Detaljhandel_vekst,Detaljhandel_vekst,Beregnet,Produksjon og aktivitet,Årlig prosentvis vekst i detaljhandelens volum,Beregnet,,Detaljhandel,Prosent,Erlig,1992,2023,create_international_derived_variables,"Beregnet med growth_rate(Detaljhandel, Aar).",Internasjonal
Handelsbalanse,Handelsbalanse,Beregnet,Utenriksøkonomi,"Eksport minus import, faste 2023-priser",Beregnet,,Eksport og Import,"Millioner euro, kjedevolum med referanseer 2020",Erlig,1975,2025,create_international_derived_variables,Beregnet som Eksport - Import.,Internasjonal
Eksportandel_BNP,Eksportandel_BNP,Beregnet,Utenriksøkonomi,Eksport som andel av BNP Fastlands-Norge,Beregnet,,Eksport og BNP_faste_priser,Prosent,Erlig,1975,2025,create_international_derived_variables,Beregnet som Eksport / BNP_faste_priser * 100.,Internasjonal
Importandel_BNP,Importandel_BNP,Beregnet,Utenriksøkonomi,Import som andel av BNP Fastlands-Norge,Beregnet,,Import og BNP_faste_priser,Prosent,Erlig,1975,2025,create_international_derived_variables,Beregnet som Import / BNP_faste_priser * 100.,Internasjonal
Handelsbalanse_andel_BNP,Handelsbalanse_andel_BNP,Beregnet,Utenriksøkonomi,Handelsbalanse som andel av BNP Fastlands-Norge,Beregnet,,Handelsbalanse og BNP_faste_priser,Prosent,Erlig,1975,2025,create_international_derived_variables,Beregnet som Handelsbalanse / BNP_faste_priser * 100.,Internasjonal
Privat_konsum_vekst,Privat_konsum_vekst,Beregnet,Husholdningsøkonomi,Årlig prosentvis vekst i privat konsum,Beregnet,,Privat_konsum,Prosent,Erlig,1976,2025,create_international_derived_variables,"Beregnet med growth_rate(Privat_konsum, Aar).",Internasjonal
Offentlig_konsum_vekst,Offentlig_konsum_vekst,Beregnet,Offentlige finanser,Årlig prosentvis vekst i offentlig konsum,Beregnet,,Offentlig_konsum,Prosent,Erlig,1976,2025,create_international_derived_variables,"Beregnet med growth_rate(Offentlig_konsum, Aar).",Internasjonal
Privat_konsum_andel_BNP,Privat_konsum_andel_BNP,Beregnet,Husholdningsøkonomi,Privat konsum som andel av BNP Fastlands-Norge,Beregnet,,Privat_konsum og BNP_faste_priser,Prosent,Erlig,1975,2025,create_international_derived_variables,Beregnet som Privat_konsum / BNP_faste_priser * 100.,Internasjonal
Offentlig_konsum_andel_BNP,Offentlig_konsum_andel_BNP,Beregnet,Offentlige finanser,Offentlig konsum som andel av BNP Fastlands-Norge,Beregnet,,Offentlig_konsum og BNP_faste_priser,Prosent,Erlig,1975,2025,create_international_derived_variables,Beregnet som Offentlig_konsum / BNP_faste_priser * 100.,Internasjonal
Investeringsvekst,Investeringsvekst,Beregnet,Nasjonalregnskap,Erlig prosentvis vekst i bruttoinvesteringer i fast realkapital.,Beregnet,,Investeringer,Prosent,Erlig,1976,2025,create_international_derived_variables,"Beregnet med growth_rate(Investeringer, Aar).",Internasjonal
Investeringer_andel_BNP,Investeringer som andel av BNP,Beregnet,Nasjonalregnskap,Bruttoinvesteringer i fast realkapital som andel av BNP i faste priser.,Beregnet,,Investeringer og BNP_faste_priser,Prosent,Erlig,1975,2025,create_international_derived_variables,Beregnet som Investeringer / BNP_faste_priser * 100.,Internasjonal
