Aar,KPI,Inflasjon,Befolkning,Arbeidsstyrke
1865,1,,1678510,
1866,1,0,1701756,
1867,1.1,10,1712787,
1868,1.1,0,1720933,
1869,1,-9.09090909090909,1729242,
1870,1,0,1732655,
1871,1,0,1741162,
1872,1.2,20,1751544,
1873,1.2,0,1762313,
1874,1.3,8.33333333333335,1776528,
1875,1.2,-7.6923076923077,1796752,
1876,1.2,0,1818853,
1877,1.2,0,1838858,
1878,1.1,-8.33333333333333,1864285,
1879,1,-9.09090909090909,1889385,
1880,1.1,10,1914867,
1881,1.2,9.09090909090908,1923283,
1882,1.2,0,1922613,
1883,1.1,-8.33333333333333,1916921,
1884,1.1,0,1921712,
1885,1,-9.09090909090909,1936404,
1886,1,0,1951429,
1887,0.9,-10,1965217,
1888,1,11.1111111111111,1974396,
1889,1,0,1978834,
1890,1,0,1989756,
1891,1,0,2004102,
1892,1,0,2020905,
1893,1,0,2031127,
1894,1,0,2044466,
1895,1,0,2068848,
1896,1,0,2097328,
1897,1,0,2126024,
1898,1.1,10,2157418,
1899,1.1,0,2190196,
1900,1.2,9.09090909090908,2217971,
1901,1.2,0,2242995,
1902,1.1,-8.33333333333333,2266827,
1903,1.1,0,2284143,
1904,1,-9.09090909090909,2291392,
1905,1.1,10,2303595,
1906,1.1,0,2313549,
1907,1.2,9.09090909090908,2324832,
1908,1.2,0,2333092,
1909,1.2,0,2358036,
1910,1.2,0,2376952,
1911,1.2,0,2390402,
1912,1.3,8.33333333333335,2411190,
1913,1.4,7.69230769230769,2435178,
1914,1.4,0,2458569,
1915,1.5,7.14285714285714,2486269,
1916,1.9,26.6666666666667,2509263,
1917,2.3,21.0526315789474,2535092,
1918,3.3,43.4782608695652,2565994,
1919,3.5,6.06060606060606,2589463,
1920,4,14.2857142857143,2616274,
1921,3.7,-7.5,2653054,
1922,3.1,-16.2162162162162,2682680,
1923,2.9,-6.45161290322581,2707000,
1924,3.2,10.3448275862069,2719233,
1925,3.3,3.12499999999998,2738298,
1926,2.8,-15.1515151515152,2755331,
1927,2.5,-10.7142857142857,2770880,
1928,2.3,-8.00000000000001,2778851,
1929,2.2,-4.34782608695651,2790497,
1930,2.2,0,2799713,
1931,2,-9.09090909090909,2815164,
1932,2,0,2832599,
1933,2,0,2850457,
1934,2,0,2866229,
1935,2,0,2882182,
1936,2.1,5,2896239,
1937,2.2,4.76190476190477,2910798,
1938,2.3,4.54545454545452,2926686,
1939,2.3,0,2944920,
1940,2.7,17.3913043478261,2963909,
1941,3.2,18.5185185185185,2982224,
1942,3.4,6.25,2998244,
1943,3.5,2.94117647058825,3019521,
1944,3.5,0,3045337,
1945,3.6,2.85714285714287,3075084,
1946,3.7,2.77777777777779,3107269,
1947,3.7,0,3146497,
1948,3.7,0,3183525,
1949,3.7,0,3218499,
1950,3.9,5.4054054054054,3249954,
1951,4.5,15.3846153846154,3280296,
1952,4.9,8.8888888888889,3311446,
1953,5,2.04081632653061,3344010,
1954,5.2,4,3377766,
1955,5.2,0,3410726,
1956,5.4,3.84615384615385,3445673,
1957,5.6,3.7037037037037,3475890,
