Aar;Aksjekursindeks
1914;129.09071386912785
1915;150.50748290465492
1916;261.68567895610823
1917;320.4604599071553
1918;355.6812991869565
1919;251.62547129832768
1920;207.55533684619337
1921;122.64832992602688
1922;105.26827651476987
1923;107.10708931078368
1924;123.54174353924707
1925;120.15832557136928
1926;106.03322533035073
1927;101.67260490894694
1928;103.775
1929;109.2562380952381
1930;96.744
1931;80.3287619047619
1932;69.57942857142858
1933;81.43017142857143
1934;89.06590476190476
1935;103.83961904761905
1936;127.26575238095239
1937;161.10232380952382
1938;143.63862857142857
1939;145.82026666666667
1940;145.1848380952381
1941;188.64815238095238
1942;214.51009523809523
1943;233.05401904761905
1944;236.97249523809523
1945;218.56624761904763
1946;206.7049142857143
1947;192.7890285714286
1948;212.69842167850564
1949;200.4457673243883
1950;214.51717505919493
1951;245.43598253091292
1952;242.3728189423836
1953;225.9083146540384
1954;252.61527219152853
1955;285.73572849250195
1956;330.63021983688503
1957;338.4795765324914
1958;274.7274843462247
1959;290.8090931860037
1960;310.7112986667142
1961;341.15072211641973
1962;300.18123299756894
1963;266.11150906595617
1964;280.94478517873216
1965;274.34246569921254
1966;250.22010641916552
1967;222.9379960145035
1968;227.7239462132838
1969;259.31414322071953
1970;315.6484097989251
1971;340.96786614856006
1972;311.2184192175783
1973;454.54092682598366
1974;405.37705226744845
1975;282.70995478847084
1976;289.34396930241945
1977;246.07780922725124
1978;210.92070180676635
1979;273.8548497849201
1980;313.432195468466
1981;332.36388334086996
1982;323.0211624230268
1983;454.9870953875613
1984;667.9630982730703
1985;808.5378902044378
1986;830.8950798747461
1987;954.2862869864481
1988;840.1427156893022
1989;1396.1077526881134
1990;1696.4060135051127
1991;1389.8833355421705
1992;1147.2042092375375
1993;1468.894180214546
1994;1851.8872239363998
1995;2008.4460655382736
1996;2427.0277567647613
1997;3496.8668250406604
1998;3403.6419764666603
1999;3339.064562857341
2000;4106.923095411932
