Aar,Statsrente_10aar
1921,6.45
1922,5.23
1923,5.63
1924,6.23
1925,5.91
1926,5.53
1927,5.46
1928,5.62
1929,5.59
1930,5.23
1931,5.03
1932,5.05
1933,4.79
1934,4.75
1935,4.22
1936,4.58
1937,4.35
1938,3.67
1939,4.4
1940,5.75
1941,3.57
1942,3.31
1943,3.19
1944,3.15
1945,2.89
1946,2.34
1947,2.35
1948,2.26
1949,2.13
1950,2.4
1951,2.83
1952,2.73
1953,2.86
1954,2.95
1955,4.05
1956,4.48
1957,4.68
1958,4.84
1959,4.68
1960,4.66
1961,4.81
1962,4.82
1963,4.6
1964,4.67
1965,4.88
1966,4.8
1967,4.89
1968,4.81
1969,5.12
1970,5.93
1971,5.93
1972,5.98
1973,6.12
1974,7.11
1975,7.46
1976,7.51
1977,7.62
1978,8.65
1979,8.75
1980,10.8
1981,12.72
1982,13.84
1983,13.2
1984,12.55
